Date,Campaign,Ad Group,Ad Name,Impressions,Clicks,Conversions,Cost
2026-02-16,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1477,82,4,224.24
2026-02-16,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3334,174,14,476.46
2026-02-17,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3091,148,7,342.34
2026-02-17,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1450,112,8,289.53
2026-02-18,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2760,134,10,242.77
2026-02-18,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3015,200,16,396.86
2026-02-19,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1528,102,6,305.88
2026-02-19,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1101,60,5,116.86
2026-02-20,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1157,69,3,188.25
2026-02-20,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2608,175,13,270.8
2026-02-21,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1356,87,5,156.45
2026-02-21,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1471,111,8,302.53
2026-02-22,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1838,102,6,286.87
2026-02-22,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),931,73,6,140.84
2026-02-23,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1789,120,7,277.49
2026-02-23,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2528,165,12,453.77
2026-02-24,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1226,83,6,153.95
2026-02-24,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3331,210,16,291.76
2026-02-25,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1249,60,4,105.39
2026-02-25,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),997,76,6,195.79
2026-02-26,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1706,86,5,171.07
2026-02-26,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2795,169,11,326.78
2026-02-27,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3105,146,7,305.48
2026-02-27,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3394,221,16,460.36
2026-02-28,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1079,54,2,105.76
2026-02-28,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2889,223,20,501.66
2026-03-01,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1362,86,6,158.33
2026-03-01,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1666,108,9,240.24
2026-03-02,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1617,103,8,282.12
2026-03-02,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1186,70,5,167.8
2026-03-03,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3264,151,10,426.47
2026-03-03,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2964,166,14,309.17
