Date,Campaign,Ad Group,Ad Name,Impressions,Clicks,Conversions,Cost
2024-02-07,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1551,93,8,256.49
2024-02-07,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),952,76,9,171.27
2024-02-08,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1361,81,7,162.97
2024-02-08,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1661,125,13,335.64
2024-02-09,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3053,205,19,532.7
2024-02-09,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2583,201,23,503.19
2024-02-10,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1873,125,12,343.88
2024-02-10,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),955,78,8,129.66
2024-02-11,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1767,131,14,360.21
2024-02-11,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2054,137,17,224.99
2024-02-12,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2671,198,18,349.38
2024-02-12,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1668,129,15,302.91
2024-02-13,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3452,199,18,455.87
2024-02-13,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2860,240,26,300.29
2024-02-14,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1026,61,6,110.23
2024-02-14,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1764,129,14,323.8
2024-02-15,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1408,77,7,217.6
2024-02-15,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3361,224,26,328.18
2024-02-16,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1522,107,8,173.06
2024-02-16,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1310,107,12,144.6
2024-02-17,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1368,81,6,142.26
2024-02-17,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2681,170,18,266.72
2024-02-18,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2783,155,16,325.75
2024-02-18,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3080,260,26,349.54
2024-02-19,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1294,95,8,182.1
2024-02-19,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3455,243,24,474.07
2024-02-20,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3177,176,14,401.25
