Date,Campaign,Ad Group,Ad Name,Impressions,Clicks,Conversions,Cost
2026-02-16,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2456,90,7,236.86
2026-02-16,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1452,51,2,87.96
2026-02-17,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1145,50,3,80.99
2026-02-17,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2707,105,5,211.99
2026-02-18,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3020,147,11,328.77
2026-02-18,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1275,49,2,110.37
2026-02-19,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3478,168,12,379.41
2026-02-19,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1933,46,2,106.61
2026-02-20,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2380,100,7,220.79
2026-02-20,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2356,69,4,108.49
2026-02-21,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2721,97,8,145.67
2026-02-21,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2148,44,2,120.2
2026-02-22,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),971,37,2,88.18
2026-02-22,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1855,72,2,110.32
2026-02-23,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),870,27,2,74.0
2026-02-23,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3107,110,3,252.38
2026-02-24,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3493,128,9,195.4
2026-02-24,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2057,60,2,113.26
2026-02-25,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2740,108,7,172.93
2026-02-25,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3408,99,3,269.66
2026-02-26,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1814,74,5,206.29
2026-02-26,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2634,99,3,270.14
2026-02-27,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1542,56,3,137.96
2026-02-27,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1281,27,1,51.75
2026-02-28,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2774,123,8,266.57
