Date,Campaign,Ad Group,Ad Name,Impressions,Clicks,Conversions,Cost
2026-02-16,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1762,56,3,92.77
2026-02-16,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2691,117,7,165.52
2026-02-17,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1744,44,2,68.84
2026-02-17,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1983,61,4,98.34
2026-02-18,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1806,55,3,99.34
2026-02-18,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3413,122,7,246.02
2026-02-19,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3351,107,6,165.05
2026-02-19,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2715,54,4,79.91
2026-02-20,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1821,55,2,149.39
2026-02-20,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1425,52,4,114.39
2026-02-21,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2015,53,2,142.02
2026-02-21,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1345,32,2,52.09
2026-02-22,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2319,77,3,182.58
2026-02-22,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),906,26,1,35.26
2026-02-23,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2954,73,4,197.79
2026-02-23,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2651,79,5,219.51
2026-02-24,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3187,97,6,278.14
2026-02-24,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2148,68,5,178.38
2026-02-25,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3012,47,3,126.26
2026-02-25,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1249,39,2,56.7
2026-02-26,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2341,61,3,92.34
2026-02-26,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1749,38,3,62.17
2026-02-27,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1426,44,2,107.83
2026-02-27,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1503,51,4,79.6
2026-02-28,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1050,28,1,48.48
2026-02-28,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1541,52,3,102.91
2026-03-01,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3413,111,6,244.57
2026-03-01,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1502,39,3,59.4
2026-03-02,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1975,35,1,102.56
2026-03-02,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1588,50,3,64.26
