Date,Campaign,Ad Group,Ad Name,Impressions,Clicks,Conversions,Cost
2024-02-07,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1815,106,6,303.13
2024-02-07,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2897,204,17,275.05
2024-02-08,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1362,88,5,260.76
2024-02-08,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3436,175,12,460.8
2024-02-09,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2368,148,11,442.11
2024-02-09,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),809,56,3,128.79
2024-02-10,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3194,216,17,499.31
2024-02-10,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),965,67,5,145.95
2024-02-11,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1737,110,7,278.1
2024-02-11,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3261,211,15,260.76
2024-02-12,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2196,122,8,287.72
2024-02-12,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2526,160,13,441.13
2024-02-13,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2146,143,10,374.18
2024-02-13,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3328,202,15,556.72
2024-02-14,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),2167,123,6,351.11
2024-02-14,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2870,172,12,233.52
2024-02-15,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1777,94,6,210.06
2024-02-15,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),1739,113,7,194.28
2024-02-16,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),999,48,2,136.06
2024-02-16,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),2043,102,8,175.97
2024-02-17,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),3443,175,9,364.69
2024-02-17,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3076,230,20,624.08
2024-02-18,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1117,63,3,172.95
2024-02-18,Q3_Software_Promo,Competitor_Keywords,Variant Ad (Version B),3295,200,18,403.46
2024-02-19,Q3_Software_Promo,Competitor_Keywords,Control Ad (Version A),1016,68,4,118.49
